x,y_detected,baseline_y,deflection_y_px,modified_z,confidence
200,17.0,18.00134,-1.0013409,-0.99802214,0.28181818
201,17.0,17.997047,-0.9970474,-0.9941008,0.3
202,17.0,17.992754,-0.992754,-0.9901794,0.29545453
203,17.0,17.98846,-0.98846054,-0.98625815,0.29545453
204,18.0,17.984167,0.015832901,-0.069003284,0.30454546
205,19.0,17.979874,1.0201263,0.8482516,0.35
206,18.0,17.97558,0.024419785,-0.0611606,0.3409091
207,17.0,17.971287,-0.9712868,-0.9705727,0.47727272
208,17.0,17.966993,-0.96699333,-0.96665144,0.4409091
209,17.0,17.9627,-0.9626999,-0.96273005,0.37272727
210,17.0,17.958406,-0.95840645,-0.9588087,0.4
211,17.0,17.954111,-0.9541111,-0.9548856,0.39545456
212,19.0,17.949818,1.0501823,0.8757027,0.44545454
213,18.0,17.945524,0.054475784,-0.033709448,0.5272727
214,18.0,17.94123,0.058769226,-0.029788105,0.6272727
215,19.0,17.936937,1.0630627,0.8874667,0.8545455
216,19.0,17.932644,1.0673561,0.8913881,0.8727273
217,19.0,17.92835,1.0716496,0.8953094,0.71363634
218,18.0,17.924057,0.07594299,-0.014102728,0.53636366
219,18.0,17.919764,0.080236435,-0.010181384,0.5590909
220,18.0,17.91547,0.08452988,-0.0062600398,0.32272726
221,16.0,17.911175,-1.9111748,-1.8290038,0.28181818
222,19.0,17.906881,1.0931187,0.9149179,0.31363636
223,19.0,17.902588,1.0974121,0.9188392,0.39545456
224,19.0,17.898294,1.1017056,0.9227606,0.35454544
225,17.0,17.894001,-0.894001,-0.8999851,0.45
226,17.0,17.889708,-0.88970757,-0.8960637,0.37727273
227,17.0,17.885414,-0.8854141,-0.89214236,0.3318182
228,18.0,17.88112,0.11887932,0.025112456,0.22272727
229,20.0,17.876827,2.1231728,1.8557007,0.15454546
230,21.0,17.872534,3.1274662,2.7729557,0.122727275
231,21.0,17.86824,3.1317596,2.776877,0.1
232,21.0,17.863945,3.136055,2.7808,0.1
233,21.0,17.859652,3.1403484,2.7847211,0.10454545
234,16.0,17.855358,-1.8553581,-1.7780247,0.1
235,17.0,17.851065,-0.8510647,-0.86076987,0.16818182
236,17.0,17.846771,-0.84677124,-0.85684854,0.22272727
237,17.0,17.842478,-0.8424778,-0.8529272,0.4227273
238,17.0,17.838184,-0.83818436,-0.8490058,0.21363637
239,17.0,17.83389,-0.8338909,-0.8450845,0.18181819
240,17.0,17.829597,-0.8295975,-0.84116316,0.28636363
241,17.0,17.825304,-0.82530403,-0.8372418,0.26818183
242,18.0,17.82101,0.17898941,0.080013014,0.23636363
243,19.0,17.816715,1.1832848,0.9972696,0.33636364
244,19.0,17.812422,1.1875782,1.0011909,0.35
245,19.0,17.808128,1.1918716,1.0051123,0.3181818
246,18.0,17.803835,0.19616508,0.09570013,0.33636364
247,18.0,17.799541,0.20045853,0.099621475,0.34545454
248,18.0,17.795248,0.20475197,0.10354283,0.34545454
249,18.0,17.790955,0.20904541,0.107464164,0.37727273
250,19.0,17.786661,1.2133389,1.024719,0.27727273
251,17.0,17.782368,-0.7823677,-0.7980266,0.23636363
252,17.0,17.778074,-0.77807426,-0.7941053,0.13636364
253,17.0,17.77378,-0.7737808,-0.79018396,0.10909091
254,21.0,17.769485,3.2305145,2.8670733,0.095454544
255,20.0,17.765192,2.234808,1.9576609,0.1
256,15.0,17.760899,-2.7608986,-2.6050851,0.1
257,15.0,17.756605,-2.7566051,-2.6011639,0.11363637
258,20.0,17.752312,2.2476883,1.969425,0.13181818
259,19.0,17.748018,1.2519817,1.0600128,0.15
260,19.0,17.743725,1.2562752,1.0639342,0.16363636
261,20.0,17.739431,2.2605686,1.9811891,0.15454546
262,15.0,17.735138,-2.735138,-2.581557,0.22727273
263,16.0,17.730844,-1.7308445,-1.6643022,0.32272726
264,17.0,17.726551,-0.72655106,-0.7470474,0.35
265,17.0,17.722256,-0.7222557,-0.7431243,0.3409091
266,17.0,17.717962,-0.71796227,-0.739203,0.47727272
267,17.0,17.713669,-0.7136688,-0.73528165,0.7590909
268,17.0,17.709375,-0.7093754,-0.73136026,0.6227273
269,19.0,17.705082,1.2949181,1.099228,0.50454545
270,17.0,17.700788,-0.7007885,-0.7235176,0.5181818
271,17.0,17.696495,-0.69649506,-0.7195962,0.92727274
272,17.0,17.692202,-0.6922016,-0.71567494,0.9045454
273,17.0,17.687908,-0.6879082,-0.71175355,0.8772727
274,18.0,17.683615,0.31638527,0.20550124,0.8636364
275,18.0,17.679321,0.3206787,0.2094226,0.9409091
276,18.0,17.675026,0.32497406,0.21334568,0.7772727
277,19.0,17.670732,1.3292675,1.1306006,0.5590909
278,19.0,17.66644,1.333561,1.1345218,0.46363637
279,17.0,17.662146,-0.6621456,-0.6882238,0.51363635
280,17.0,17.657852,-0.6578522,-0.68430245,0.7
281,17.0,17.653559,-0.65355873,-0.68038106,0.91818184
282,17.0,17.649265,-0.6492653,-0.6764597,0.6818182
283,17.0,17.644972,-0.64497185,-0.6725384,0.45909092
284,17.0,17.640678,-0.6406784,-0.66861707,0.40454546
285,17.0,17.636385,-0.63638496,-0.6646957,0.3318182
286,17.0,17.63209,-0.6320896,-0.6607726,0.4
287,19.0,17.627796,1.3722038,1.1698157,0.51363635
288,17.0,17.623503,-0.62350273,-0.65292996,0.36818182
289,18.0,17.61921,0.3807907,0.2643249,0.38181818
290,17.0,17.614916,-0.61491585,-0.64508724,0.35
291,17.0,17.610622,-0.6106224,-0.6411659,0.3409091
292,17.0,17.606329,-0.60632896,-0.6372445,0.36363637
293,17.0,17.602036,-0.6020355,-0.6333232,0.3409091
294,17.0,17.597742,-0.5977421,-0.62940186,0.4909091
295,17.0,17.593449,-0.59344864,-0.62548053,0.79545456
296,19.0,17.589155,1.4108448,1.2051078,0.6090909
297,19.0,17.58486,1.4151402,1.2090309,0.4909091
298,19.0,17.580566,1.4194336,1.2129523,0.57272726
299,17.0,17.576273,-0.57627296,-0.6097934,0.66818184
300,18.0,17.57198,0.42802048,0.30746144,0.5772727
301,19.0,17.567686,1.4323139,1.2247163,0.5090909
302,19.0,17.563393,1.4366074,1.2286376,0.6909091
303,19.0,17.5591,1.4409008,1.232559,0.73636365
304,18.0,17.554806,0.44519424,0.3231468,0.46363637
305,19.0,17.550512,1.4494877,1.2404016,0.4409091
306,19.0,17.546219,1.4537811,1.244323,0.47272727
307,17.0,17.541924,-0.5419235,-0.5784209,0.6636364
308,17.0,17.53763,-0.5376301,-0.57449955,0.79545456
309,17.0,17.533337,-0.53333664,-0.5705782,0.8863636
310,19.0,17.529043,1.4709568,1.2600101,0.6409091
311,19.0,17.52475,1.4752502,1.2639314,0.70454544
312,19.0,17.520456,1.4795437,1.2678528,0.53636366
